,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff,invalid_catch,block_mod,pred,ign_pred,ign_mod,relevant_expected,irrelevant_expected,v_learned,a_learned,att_learned,ign_learned,change_r,change,response
62,S01,22,Hombre,izquierda,1,1,visual,5,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.4490831000002799,1,32.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,32.0,1.0,1
63,S01,22,Hombre,izquierda,1,1,visual,6,VP,90.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.8305886999996801,1,26.0,0.0,1,VP,VP,auditory,0,0,1,1,1,1,0.0,0.0,0
64,S01,22,Hombre,izquierda,1,1,visual,7,EXP,0.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,1.5559139000001778,1,26.0,0.0,1,EXP,VP,auditory,1,0,1,1,1,1,0.0,0.0,0
65,S01,22,Hombre,izquierda,1,1,visual,9,VP,0.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,0.7471858999997494,1,26.0,0.0,1,VP,VP,auditory,0,0,1,1,1,1,0.0,0.0,0
66,S01,22,Hombre,izquierda,1,1,visual,10,VP,90.0,135.0,VP,1000.0,160.0,0.0,1.0,diferente,0.7309856000001673,1,26.0,0.0,1,VP,VP,auditory,0,0,1,0,1,0,26.0,0.8125,1
67,S01,22,Hombre,izquierda,1,1,visual,11,VP,0.0,45.0,EXP,1000.0,100.0,0.0,1.0,normal,0.512584600000082,0,26.0,0.0,1,VP,EXP,auditory,0,1,1,0,1,0,26.0,0.8125,0
68,S01,22,Hombre,izquierda,1,1,visual,12,VP,0.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.6621012000000519,1,26.0,0.0,1,VP,EXP,auditory,0,1,1,1,1,1,0.0,0.0,0
69,S01,22,Hombre,izquierda,1,1,visual,13,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.5672044000002643,1,26.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,26.0,0.8125,1
70,S01,22,Hombre,izquierda,1,1,visual,15,VP,90.0,135.0,VP,1600.0,100.0,0.0,1.0,diferente,0.8871739000001071,1,26.0,0.0,1,VP,VP,auditory,0,0,1,1,1,1,26.0,0.8125,1
71,S01,22,Hombre,izquierda,1,1,visual,16,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.445050099999662,1,26.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
72,S01,22,Hombre,izquierda,1,1,visual,17,EXP,0.0,135.0,VP,1000.0,160.0,0.0,1.0,diferente,0.7708271000001332,1,26.0,0.0,1,EXP,VP,auditory,1,0,1,0,1,0,26.0,0.8125,1
73,S01,22,Hombre,izquierda,1,1,visual,18,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.580666900000324,1,26.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
74,S01,22,Hombre,izquierda,1,1,visual,19,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.5994793999998365,1,26.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
75,S01,22,Hombre,izquierda,1,1,visual,20,VP,0.0,45.0,VP,1000.0,160.0,0.0,1.0,diferente,0.4279795000002195,1,26.0,0.0,1,VP,VP,auditory,0,0,1,0,1,0,26.0,0.8125,1
76,S01,22,Hombre,izquierda,1,1,visual,21,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.5521091000000524,1,26.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
77,S01,22,Hombre,izquierda,1,1,visual,23,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.3985766000000694,1,26.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,26.0,0.8125,1
78,S01,22,Hombre,izquierda,1,1,visual,25,EXP,90.0,45.0,VP,1000.0,160.0,0.0,0.0,diferente,0.4102687999998125,0,22.0,0.0,1,EXP,VP,auditory,1,0,1,0,1,0,0.0,0.0,1
79,S01,22,Hombre,izquierda,1,1,visual,27,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4632665999997698,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
80,S01,22,Hombre,izquierda,1,1,visual,28,EXP,90.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,0.3892828000002737,1,22.0,0.0,1,EXP,VP,auditory,1,0,1,1,1,1,0.0,0.0,0
81,S01,22,Hombre,izquierda,1,1,visual,29,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4686924000002364,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
82,S01,22,Hombre,izquierda,1,1,visual,30,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3632869000002756,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
83,S01,22,Hombre,izquierda,1,1,visual,31,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3676990999997542,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
84,S01,22,Hombre,izquierda,1,1,visual,32,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.3723401000002013,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,0.0,0.0,0
85,S01,22,Hombre,izquierda,1,1,visual,33,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.4254639999999199,1,22.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,22.0,0.6875,1
