,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
8946,S40,22,Mujer,derecha,2,0,visual,2,EXP,90.0,135.0,,,,,,frecuente,0.4003971000001911,1,
8947,S40,22,Mujer,derecha,2,0,visual,3,VP,0.0,135.0,,,,,,frecuente,0.4635154000006878,0,
8948,S40,22,Mujer,derecha,2,0,visual,4,EXP,90.0,135.0,,,,,,frecuente,0.501359699999739,1,
8949,S40,22,Mujer,derecha,2,0,visual,5,EXP,0.0,45.0,,,,,,frecuente,3.7188459999997576,1,
8950,S40,22,Mujer,derecha,2,0,visual,6,VP,90.0,45.0,,,,,,frecuente,5.24459620000016,0,
8951,S40,22,Mujer,derecha,2,0,visual,7,VP,90.0,45.0,,,,,,frecuente,0.4016434999994089,0,
8952,S40,22,Mujer,derecha,2,1,auditory,0,,,,EXP,1600.0,160.0,,,frecuente,3.927288599999883,1,
8953,S40,22,Mujer,derecha,2,1,auditory,1,,,,VP,1600.0,100.0,,,frecuente,2.609724899999492,0,
8954,S40,22,Mujer,derecha,2,1,auditory,2,,,,EXP,1000.0,100.0,,,raro,2.3818374000002223,0,
8955,S40,22,Mujer,derecha,2,1,auditory,3,,,,VP,1000.0,160.0,,,frecuente,2.817529400001149,0,
8956,S40,22,Mujer,derecha,2,1,auditory,4,,,,VP,1600.0,100.0,,,frecuente,0.3241211000004114,0,
8957,S40,22,Mujer,derecha,2,1,auditory,5,,,,EXP,1600.0,160.0,,,frecuente,2.7413080999995145,1,
8958,S40,22,Mujer,derecha,2,1,auditory,6,,,,VP,1000.0,160.0,,,raro,3.2285160000010364,1,
8959,S40,22,Mujer,derecha,2,1,auditory,7,,,,EXP,1000.0,100.0,,,raro,1.432081000000835,0,
9840,S41,21,Mujer,derecha,2,0,visual,0,VP,90.0,45.0,,,,,,frecuente,2.8368599000386894,0,
9841,S41,21,Mujer,derecha,2,0,visual,1,EXP,90.0,135.0,,,,,,frecuente,1.2035288999904878,1,
9842,S41,21,Mujer,derecha,2,0,visual,2,VP,0.0,135.0,,,,,,raro,1.1314977000001818,1,
9843,S41,21,Mujer,derecha,2,0,visual,3,VP,0.0,135.0,,,,,,frecuente,0.9761349000036716,0,
9844,S41,21,Mujer,derecha,2,0,visual,4,EXP,0.0,45.0,,,,,,frecuente,0.776393799984362,1,
9845,S41,21,Mujer,derecha,2,0,visual,5,VP,90.0,45.0,,,,,,frecuente,0.7813045000075363,0,
9846,S41,21,Mujer,derecha,2,0,visual,6,EXP,0.0,45.0,,,,,,raro,0.9521821000380442,0,
9847,S41,21,Mujer,derecha,2,0,visual,7,EXP,90.0,135.0,,,,,,frecuente,0.8165165000245906,1,
